A,B,PULL,Seg,Dir,LType
19510,19512,1,1,SB,EL
19513,19511,1,1,NB,EL
19286,21908,1,1,SB,GU
21979,19287,1,1,NB,GU
92009,93110,1,2,SB,EL
93109,92067,1,2,NB,EL
26377,26378,1,2,SB,GU
26379,26375,1,2,NB,GU
92016,92017,1,3,SB,EL
92059,92060,1,3,NB,EL
27588,27589,1,3,SB,GU
27591,27590,1,3,NB,GU
92025,92026,1,4,SB,EL
92050,92051,1,4,NB,EL
21784,27690,1,4,SB,GU
27692,25200,1,4,NB,GU
92029,92030,1,5,SB,EL
92046,92047,1,5,NB,EL
25204,23921,1,5,SB,GU
23923,25209,1,5,NB,GU
93047,92035,1,6,SB,EL
92042,93048,1,6,NB,EL
93046,21744,1,6,SB,GU
25861,93049,1,6,NB,GU
92133,92134,1,7,SB,EL
92126,92127,1,7,NB,EL
23788,26162,1,7,SB,GU
21539,23789,1,7,NB,GU
