;Hours,Direction_1,Direction_2,,,
1,0.008648746,0.013148984,,,
2,0.005608496,0.008111555,,,
3,0.005202088,0.007358835,,,
4,0.005389661,0.006870809,,,
5,0.010977781,0.008219086,,,
6,0.03215793,0.013529479,,,
7,0.082014459,0.025374469,,,
8,0.108024619,0.040097989,,,
9,0.08450762,0.043960845,,,
10,0.059692123,0.042794544,,,
11,0.052642494,0.043315657,,,
12,0.053846089,0.04882457,,,
13,0.053072349,0.051736188,,,
14,0.055143471,0.051330877,,,
15,0.056065706,0.056972136,,,
16,0.056503377,0.0678328,,,
17,0.056964495,0.092687663,,,
18,0.057847652,0.112448612,,,
19,0.042310333,0.093622358,,,
20,0.031204432,0.052199399,,,
21,0.027804667,0.040106261,,,
22,0.024201697,0.034067963,,,
23,0.018261877,0.026110645,,,
24,0.011907832,0.01927827,,,
