;Hours,Dir_1,Dir_2
1,-2.680788984,-2.680788984
2,-2.680788984,-2.680788984
3,-2.680788984,-2.680788984
4,-2.680788984,-2.680788984
5,-2.680788984,-2.680788984
6,-2.032730516,-2.032730516
7,-1.192730516,-1.192730516
8,-1.192730516,-1.192730516
9,-1.192730516,-1.192730516
10,-1.192730516,-1.192730516
11,-1.640730516,-1.640730516
12,-1.640730516,-1.640730516
13,-1.640730516,-1.640730516
14,-1.640730516,-1.640730516
15,-1.640730516,-1.640730516
16,-1.192730516,-1.192730516
17,-1.192730516,-1.192730516
18,-1.192730516,-1.192730516
19,-1.192730516,-1.192730516
20,-2.032730516,-2.032730516
21,-2.680788984,-2.680788984
22,-2.680788984,-2.680788984
23,-2.680788984,-2.680788984
24,-2.680788984,-2.680788984
