"","Year","Seg","LOS","newPolicy","oldPolicy"
"1",2020,1,"A",0.117763510888268,0.0951637791961843
"2",2020,1,"B",0.149569303054033,0
"3",2020,2,"A",0.106699446834665,0.0854672866592442
"4",2020,2,"B",0.135173290040234,0.128908520283622
"5",2040,1,"A",0.104013745911646,0.0871983774271483
"6",2040,1,"B",0.153148248956632,0.163448109800144
"7",2040,1,"C",0.191522566951745,0.197200789520904
"8",2040,2,"A",0.0938193120011302,0.0767781375614113
"9",2040,2,"B",0.142474147836078,0.141612409038682
"10",2040,2,"C",0.208621575083829,0.202245100471347
